title,address,price,beds,link
"6004 Team Ct Arlington, TX 76018","6004 Team Ct Arlington, TX 76018","$2,480 ",4 Beds,https://www.apartments.com/6004-team-ct-arlington-tx/fw4cnvt/
"5105 Fairmount Dr Arlington, TX 76017","5105 Fairmount Dr Arlington, TX 76017","$1,940 ",3 Beds,https://www.apartments.com/5105-fairmount-dr-arlington-tx/h1ln0c1/
"5629 Wembley Downs Dr Arlington, TX 76017","5629 Wembley Downs Dr Arlington, TX 76017","$2,200 ",4 Beds,https://www.apartments.com/5629-wembley-downs-dr-arlington-tx/dpd97bl/
"7503 Quail Ridge Dr Arlington, TX 76002","7503 Quail Ridge Dr Arlington, TX 76002","$2,085 ",3 Beds,https://www.apartments.com/7503-quail-ridge-dr-arlington-tx/h6gn733/
"1418 Ardmore Dr Arlington, TX 76018","1418 Ardmore Dr Arlington, TX 76018","$1,960 ",3 Beds,https://www.apartments.com/1418-ardmore-dr-arlington-tx/r6nbfl0/
"1717 Quinlan Ct Arlington, TX 76018","1717 Quinlan Ct Arlington, TX 76018","$1,815 ",3 Beds,https://www.apartments.com/1717-quinlan-ct-arlington-tx/mnpy9jh/
"7802 Mason Dells Dr Arlington, TX 76001","7802 Mason Dells Dr Arlington, TX 76001","$2,475 ",3 Beds,https://www.apartments.com/7802-mason-dells-dr-arlington-tx/jer7bf6/
"640 Tabasco Trail Arlington, TX 76002","640 Tabasco Trail Arlington, TX 76002","$2,470 ",4 Beds,https://www.apartments.com/640-tabasco-trail-arlington-tx/9c3zdm4/
"1018 Palos Verdes Blvd Arlington, TX 76017","1018 Palos Verdes Blvd Arlington, TX 76017","$2,525 ",4 Beds,https://www.apartments.com/1018-palos-verdes-blvd-arlington-tx/bcrry3c/
"5927 Rock Meadow Trail Arlington, TX 76017","5927 Rock Meadow Trail Arlington, TX 76017","$1,950 ",3 Beds,https://www.apartments.com/5927-rock-meadow-trail-arlington-tx/m5e4ftl/
"6918 Meadow Bend Dr Arlington, TX 76002","6918 Meadow Bend Dr Arlington, TX 76002","$2,325 ",4 Beds,https://www.apartments.com/6918-meadow-bend-dr-arlington-tx/v156pee/
"6204 Gettysburg Dr Arlington, TX 76002","6204 Gettysburg Dr Arlington, TX 76002","$1,945 ",3 Beds,https://www.apartments.com/6204-gettysburg-dr-arlington-tx/wj6vf9l/
"6715 Oregon Trail Arlington, TX 76002","6715 Oregon Trail Arlington, TX 76002","$1,930 ",3 Beds,https://www.apartments.com/6715-oregon-trail-arlington-tx/xsv4blm/
"6708 Greenspring Dr Arlington, TX 76016","6708 Greenspring Dr Arlington, TX 76016","$2,035 ",3 Beds,https://www.apartments.com/6708-greenspring-dr-arlington-tx/xrz4ccm/
"2910 Janet Cir Arlington, TX 76013","2910 Janet Cir Arlington, TX 76013","$2,300 ",3 Beds,https://www.apartments.com/2910-janet-cir-arlington-arlington-tx/jdme0t4/
"3705 Hialeah Dr Arlington, TX 76017","3705 Hialeah Dr Arlington, TX 76017","$2,200 ",3 Beds,https://www.apartments.com/3705-hialeah-dr-arlington-arlington-tx/kelms5b/
"4509 Rockland Dr Arlington, TX 76016","4509 Rockland Dr Arlington, TX 76016","$2,735 ",5 Beds,https://www.apartments.com/5-br-25-bath-house-4509-rockland-dr-arlington-tx/kyrjs29/
"5315 Vincennes Ct Arlington, TX 76017","5315 Vincennes Ct Arlington, TX 76017","$1,800 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-5315-vincennes-ct-arlington-tx/e6d3l4m/
"2304 Westwood Dr Arlington, TX 76012","2304 Westwood Dr Arlington, TX 76012","$3,500 ",3 Beds,https://www.apartments.com/3-br-25-bath-house-2304-westwood-drive-arlington-tx/vtyn7bg/
"6228 Kelly Elliott Rd Arlington, TX 76001","6228 Kelly Elliott Rd Arlington, TX 76001","$3,700 ",3 Beds,https://www.apartments.com/6228-kelly-elliott-rd-arlington-tx/1tkh4z5/
"809 Bahar Ct Arlington, TX 76010","809 Bahar Ct Arlington, TX 76010","$2,450 ",4 Beds,https://www.apartments.com/available-now-for-a-self-guided-tour-arlington-tx/t4j9en8/
"8000 Stowe Springs Ln Arlington, TX 76002","8000 Stowe Springs Ln Arlington, TX 76002","$3,295 ",5 Beds,https://www.apartments.com/charming-5-bedroom-in-arlington-arlington-tx/7x09e8x/
"7407 Columbia Dr Arlington, TX 76016","7407 Columbia Dr Arlington, TX 76016","$2,035 ",4 Beds,https://www.apartments.com/4-br-2-bath-house-7407-columbia-dr-arlington-tx/enqeq3m/
"5715 Woodsetter Ct Arlington, TX 76017","5715 Woodsetter Ct Arlington, TX 76017","$1,800 ",3 Beds,https://www.apartments.com/5715-woodsetter-ct-arlington-tx/76jmqvz/
"320 Valley Spring Dr Arlington, TX 76018","320 Valley Spring Dr Arlington, TX 76018","$2,070 ",4 Beds,https://www.apartments.com/320-valley-spring-dr-arlington-tx/45yedmh/
"2018 W Randol Mill Rd Arlington, TX 76012","2018 W Randol Mill Rd Arlington, TX 76012","$2,230 ",3 Beds,https://www.apartments.com/lovely-3-bedroom-2-bathroom-home-with-lar-arlington-tx/7zm9f0x/
"2105 Calico Ln Arlington, TX 76011","2105 Calico Ln Arlington, TX 76011","$1,400 ",2 Beds,https://www.apartments.com/2-br-2-bath-house-2105-calico-2714-arlington-tx/rqbrdl2/
"3815 Foxfire Dr Arlington, TX 76017","3815 Foxfire Dr Arlington, TX 76017","$2,495 ",3 Beds,https://www.apartments.com/3815-foxfire-dr-arlington-tx/jt1s6j6/
"7911 Peregrine Trail Arlington, TX 76002","7911 Peregrine Trail Arlington, TX 76002","$2,450 ",4 Beds,https://www.apartments.com/7911-peregrine-trail-arlington-tx/xnbcxjn/
"1420 Raines St Arlington, TX 76010","1420 Raines St Arlington, TX 76010","$1,900 ",3 Beds,https://www.apartments.com/1420-raines-st-arlington-tx/5n9lxvn/
"5209 La Viva Ln Arlington, TX 76017","5209 La Viva Ln Arlington, TX 76017","$2,438 ",4 Beds,https://www.apartments.com/4-br-2-bath-house-5209-la-viva-ln-arlington-tx/1cz8dd7/
"6610 Tabor Dr Arlington, TX 76002","6610 Tabor Dr Arlington, TX 76002","$2,100 ",3 Beds,https://www.apartments.com/6610-tabor-dr-arlington-tx/q9mwfjy/
"905 Freshwood Ct Arlington, TX 76017","905 Freshwood Ct Arlington, TX 76017","$1,900 ",4 Beds,https://www.apartments.com/905-freshwood-ct-arlington-arlington-tx/8elqnh2/
"5806 Homestead Ct Arlington, TX 76017","5806 Homestead Ct Arlington, TX 76017","$2,380 ",4 Beds,https://www.apartments.com/5806-homestead-ct-arlington-tx/rfx7pm3/
"1617 Beach Ln Arlington, TX 76014","1617 Beach Ln Arlington, TX 76014","$1,775 ",2 Beds,https://www.apartments.com/townhome-for-rent-in-arlington-arlington-tx/6zw1w8v/
"6209 Cool Springs Dr Arlington, TX 76001","6209 Cool Springs Dr Arlington, TX 76001","$2,150 ",3 Beds,https://www.apartments.com/6209-cool-springs-dr-arlington-arlington-tx/s9442p7/
"821 Underhill Dr Arlington, TX 76002","821 Underhill Dr Arlington, TX 76002","$2,635 ",4 Beds,https://www.apartments.com/821-underhill-dr-arlington-tx/hcspj83/
"1804 Corvallis Ct Arlington, TX 76006","1804 Corvallis Ct Arlington, TX 76006","$3,200 ",5 Beds,https://www.apartments.com/5-br-25-bath-house-1804-corvallis-court-arlington-tx/vyp632e/
"8415 River Bluffs Dr Arlington, TX 76002","8415 River Bluffs Dr Arlington, TX 76002","$2,110 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-8415-river-bluffs-drive-arlington-tx/q9jh3vy/
"5810 Cedar Ridge Dr Arlington, TX 76017","5810 Cedar Ridge Dr Arlington, TX 76017","$1,800 ",3 Beds,https://www.apartments.com/reduced-arlington-tx/89dzkq2/
"6509 Eldorado Dr Arlington, TX 76001","6509 Eldorado Dr Arlington, TX 76001","$2,100 ",3 Beds,https://www.apartments.com/reduced-arlington-tx/0s6spy2/
"809 McKinney St Arlington, TX 76012","809 McKinney St Arlington, TX 76012","$1,650 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-809-mckinney-arlington-tx/demwjxl/
"2105 Belton Dr Arlington, TX 76018","2105 Belton Dr Arlington, TX 76018","$3,900 ",5 Beds,https://www.apartments.com/5-br-3-bath-house-2105-belton-dr-arlington-tx/x28thxn/
"8011 Mosstree Dr Arlington, TX 76001","8011 Mosstree Dr Arlington, TX 76001","$1,850 ",3 Beds,https://www.apartments.com/8011-mosstree-dr-arlington-tx/khhzccc/
"5210 Livermore Dr Arlington, TX 76017","5210 Livermore Dr Arlington, TX 76017","$1,965 ",3 Beds,https://www.apartments.com/now-available-5210-livermore-dr-arlingto-arlington-tx/ng9e2mm/
"5912 Fawn Meadow Trail Arlington, TX 76017","5912 Fawn Meadow Trail Arlington, TX 76017","$2,070 ",3 Beds,https://www.apartments.com/now-available-5912-fawn-meadow-trail-arl-arlington-tx/7k8jhfy/
"304 Helen Dr Arlington, TX 76011","304 Helen Dr Arlington, TX 76011","$2,095 ",3 Beds,https://www.apartments.com/304-helen-dr-arlington-tx/qh21kkz/
"620 Oakwood Ln Arlington, TX 76012","620 Oakwood Ln Arlington, TX 76012","$2,150 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-620-oakwood-ln-arlington-tx/m9pbtbh/
"2728 Jewell Dr Arlington, TX 76016","2728 Jewell Dr Arlington, TX 76016","$2,045 ",3 Beds,https://www.apartments.com/available-now-arlington-tx/0pjhdz3/
"1021 Danforth Ct Arlington, TX 76017","1021 Danforth Ct Arlington, TX 76017","$2,100 ",3 Beds,https://www.apartments.com/freshly-renovated-arlington-tx/k3pdd0b/
"832 Ashmount Ln Arlington, TX 76017","832 Ashmount Ln Arlington, TX 76017","$2,360 ",3 Beds,https://www.apartments.com/home-for-rent-arlington-tx/wr3wnwk/
"7405 Fossil Garden Dr Arlington, TX 76002","7405 Fossil Garden Dr Arlington, TX 76002","$2,275 ",3 Beds,https://www.apartments.com/7405-fossil-garden-dr-arlington-arlington-tx/rwngmk3/
"2703 Blackwood Dr Arlington, TX 76013","2703 Blackwood Dr Arlington, TX 76013","$2,320 ",3 Beds,https://www.apartments.com/reduced-spacious-3-bedroom-in-arlington-arlington-tx/y2e920s/
"1819 Briar Meadow Dr Arlington, TX 76014","1819 Briar Meadow Dr Arlington, TX 76014","$2,170 ",4 Beds,https://www.apartments.com/1819-briar-meadow-dr-arlington-tx/6mz479s/
"4510 Lone Oak Dr Arlington, TX 76017","4510 Lone Oak Dr Arlington, TX 76017","$2,215 ",3 Beds,https://www.apartments.com/reduced-3-bedroom-in-arlington-arlington-tx/920br26/
"6001 James River Dr Arlington, TX 76018","6001 James River Dr Arlington, TX 76018","$1,950 ",3 Beds,https://www.apartments.com/6001-james-river-dr-arlington-arlington-tx/jv562n6/
"3704 Halifax Dr Arlington, TX 76013","3704 Halifax Dr Arlington, TX 76013","$2,350 ",4 Beds,https://www.apartments.com/4-br-2-bath-house-3704-halifax-drive-arlington-tx/89jbqh2/
"6736 Bighorn Ridge Arlington, TX 76002","6736 Bighorn Ridge Arlington, TX 76002","$2,145 ",3 Beds,https://www.apartments.com/6736-bighorn-ridge-arlington-tx/4vfqq9h/
"817 Netherland Dr Arlington, TX 76017","817 Netherland Dr Arlington, TX 76017","$1,678 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-817-netherland-dr-arlington-tx/xnmgwjp/
"6014 Hollyleaf Dr Arlington, TX 76017","6014 Hollyleaf Dr Arlington, TX 76017","$2,050 ",3 Beds,https://www.apartments.com/6014-hollyleaf-dr-arlington-arlington-tx/4rwln1k/
